CardNumber,Department,postDate,transDate,Time,Merchant,DriverID,Units,UnitCost,fuelCost,nonFuelCost,GrossCost,netCost
0176 - 2,BB,10/29/2021,10/27/2021,10:11:05 AM,CUMBERLAND F,302266,10.654,$3.40 ,$36.21 ,$0.00 ,$36.21 ,$36.21 
0217 - 1,UNASSIGNED,10/29/2021,10/27/2021,3:38:00 PM,SHELL,121392,19.17,$3.48 ,$66.70 ,$0.00 ,$66.70 ,$66.70 
0250 - 1,CM,10/29/2021,10/27/2021,10:58:27 AM,CIRCLE K,805334,11.908,$3.36 ,$40.00 ,$0.00 ,$40.00 ,$40.00 
0286 - 1,CM,10/29/2021,10/27/2021,12:52:26 PM,CIRCLE K,4783,10.517,$3.20 ,$33.64 ,$0.00 ,$33.64 ,$33.64 
0174 - 2,LO,10/29/2021,10/27/2021,10:02:32 AM,MARATHON,403564,9.236,$3.10 ,$28.62 ,$0.00 ,$28.62 ,$28.62 
0161 - 1,WHH,10/29/2021,10/27/2021,11:07:00 AM,DIAMOND,603252,18.175,$3.30 ,$59.96 ,$0.00 ,$59.96 ,$59.96 
0011 - 1,BBPORT,10/29/2021,10/27/2021,9:53:57 AM,CIRCLE K,304274,11.416,$3.36 ,$38.35 ,$0.00 ,$38.35 ,$38.35 
0014 - 1,BBPORT,10/29/2021,10/27/2021,9:03:00 AM,SHELL,309442,22.22,$3.40 ,$75.55 ,$13.00 ,$88.55 ,$75.55 
0249 - 1,BBPORT,10/29/2021,10/27/2021,12:48:00 PM,EXXONMOB,302957,10.544,$3.40 ,$35.84 ,$0.00 ,$35.84 ,$35.84 
0104 - 1,RMDUNCAN,10/29/2021,10/27/2021,7:37:00 AM,SHELL,209493,10.44,$3.16 ,$33.00 ,$0.00 ,$33.00 ,$33.00 
0194 - 1,RMDUNCAN,10/29/2021,10/27/2021,4:05:00 PM,UNBRANDED,207134,21.47,$3.30 ,$70.83 ,$0.00 ,$70.83 ,$70.83 
0192 - 2,RMDUNCAN,10/29/2021,10/27/2021,10:22:00 AM,SPINX,203290,16.548,$3.20 ,$52.94 ,$0.00 ,$52.94 ,$52.94 
0261 - 1,BBGREEN,10/29/2021,10/27/2021,10:13:00 AM,UNBRANDED,302626,23.284,$3.28 ,$76.35 ,$0.00 ,$76.35 ,$76.35 
0018 - 2,CMSAV,10/29/2021,10/27/2021,4:05:52 PM,LOVES,203920,8.119,$3.45 ,$28.00 ,$0.00 ,$28.00 ,$28.00 
0026 - 1,CMCP,10/29/2021,10/27/2021,5:14:00 PM,SHELL,3176,13.27,$3.70 ,$49.09 ,$0.00 ,$49.09 ,$49.09 
0262 - 1,CMGAINS,10/29/2021,10/27/2021,1:37:36 PM,LOVES,7381,11.969,$3.20 ,$38.29 ,$0.00 ,$38.29 ,$38.29 
0035 - 1,CMATHENS,10/29/2021,10/27/2021,10:25:00 AM,RACETRAC,8121,8.34,$3.20 ,$26.68 ,$0.00 ,$26.68 ,$26.68 
0241 - 1,CMATHENS,10/29/2021,10/27/2021,6:50:40 PM,CIRCLE K,2178,15.64,$3.20 ,$50.03 ,$0.00 ,$50.03 ,$50.03 
0048 - 1,LOPADU,10/29/2021,10/27/2021,12:10:00 PM,EXXONMOB,408577,6.662,$3.02 ,$20.11 ,$0.00 ,$20.11 ,$20.11 
0130 - 1,LOPADU,10/29/2021,10/27/2021,9:06:42 AM,MARATHON,406005,16.588,$3.20 ,$53.07 ,$0.00 ,$53.07 ,$53.07 
0258 - 2,LOPADU,10/29/2021,10/27/2021,5:33:00 PM,MURPHY USA,403215,10.406,$2.98 ,$31.00 ,$0.00 ,$31.00 ,$31.00 
0264 - 1,LOPADU,10/29/2021,10/27/2021,2:12:31 PM,MARATHON,402539,5.593,$3.22 ,$18.00 ,$0.00 ,$18.00 ,$18.00 
0050 - 1,LOMURR,10/29/2021,10/27/2021,4:58:00 PM,MURPHY USA,403236,10.326,$3.09 ,$31.90 ,$0.00 ,$31.90 ,$31.90 
0160 - 1,LOMURR,10/29/2021,10/27/2021,9:09:00 PM,SHELL,400752,8.05,$3.20 ,$25.76 ,$0.00 ,$25.76 ,$25.76 
0061 - 1,PAWILDER,10/29/2021,10/27/2021,11:10:10 AM,KROGER,507106,19.015,$3.12 ,$59.31 ,$0.00 ,$59.31 ,$59.31 
0092 - 1,PAWILDER,10/29/2021,10/27/2021,10:48:00 AM,BP,508598,9.73,$2.93 ,$28.50 ,$0.00 ,$28.50 ,$28.50 
0095 - 1,PAWILDER,10/29/2021,10/27/2021,9:26:41 AM,SPEEDWAY,508048,15.561,$3.06 ,$47.60 ,$0.00 ,$47.60 ,$47.60 
0169 - 1,PAINDY,10/29/2021,10/27/2021,10:04:45 AM,SPEEDWAY,501674,24.572,$3.39 ,$83.27 ,$0.00 ,$83.27 ,$83.27 
0074 - 1,PALEX,10/29/2021,10/27/2021,8:08:04 AM,SPEEDWAY,507824,29.287,$3.04 ,$89.00 ,$0.00 ,$89.00 ,$89.00 
0173 - 1,PALEX,10/29/2021,10/27/2021,2:19:26 PM,PAC PRIDE,509779,21.156,$3.10 ,$65.56 ,$0.00 ,$65.56 ,$65.56 
0100 - 1,RMMYRTLE,10/29/2021,10/27/2021,11:04:44 AM,CIRCLE K,205253,20.09,$3.20 ,$64.27 ,$0.00 ,$64.27 ,$64.27 
0186 - 1,CMTWATER,10/29/2021,10/27/2021,8:49:28 AM,CIRCLE K,801164,19.404,$3.43 ,$66.54 ,$0.00 ,$66.54 ,$66.54 
0147 - 2,CMTELLS,10/29/2021,10/27/2021,10:39:57 AM,CIRCLE K,802330,26.34,$3.36 ,$88.48 ,$0.00 ,$88.48 ,$88.48 
0079 - 1,RIVERSID,10/29/2021,10/27/2021,4:38:04 PM,SPEEDWAY,108823,17.846,$3.13 ,$55.84 ,$0.00 ,$55.84 ,$55.84 
0150 - 1,RIVERSID,10/29/2021,10/27/2021,3:15:00 PM,SHELL,106861,11.4,$3.10 ,$35.34 ,$0.00 ,$35.34 ,$35.34 
0172 - 1,RIVERSID,10/29/2021,10/27/2021,8:52:47 AM,SPEEDWAY,102536,6.099,$3.13 ,$19.08 ,$0.00 ,$19.08 ,$19.08 
0064 - 2,CMATL,10/29/2021,10/27/2021,2:27:00 PM,RACETRAC,9649,12.191,$3.20 ,$39.00 ,$0.00 ,$39.00 ,$39.00 
0281 - 1,CMATL,10/29/2021,10/27/2021,11:50:00 AM,BRANDED,7679,0.868,$3.19 ,$2.77 ,$0.00 ,$2.77 ,$2.77 
0281 - 1,CMATL,10/29/2021,10/27/2021,11:54:00 AM,BRANDED,7679,17.127,$3.19 ,$54.62 ,$0.00 ,$54.62 ,$54.62 
0283 - 1,RMCOLUMB,10/29/2021,10/27/2021,5:25:00 PM,SHELL,206682,20.63,$3.49 ,$72.00 ,$0.00 ,$72.00 ,$72.00 
0228 - 1,COOLPIKE,10/29/2021,10/27/2021,5:49:00 PM,MURPHY USA,118215,20.554,$2.92 ,$60.00 ,$0.00 ,$60.00 ,$60.00 
0236 - 1,COOLPIKE,10/29/2021,10/27/2021,12:46:00 PM,BP,122210,12.693,$3.14 ,$39.84 ,$0.00 ,$39.84 ,$39.84 
0226 - 1,COOLHAZA,10/29/2021,10/27/2021,11:00:00 AM,EXXONMOB,118847,15.944,$3.20 ,$51.00 ,$0.00 ,$51.00 ,$51.00 
0231 - 1,COOLLEXI,10/29/2021,10/27/2021,9:23:00 AM,SHELL,503672,22.16,$3.16 ,$70.02 ,$0.00 ,$70.02 ,$70.02 
0232 - 1,COOLLEXI,10/29/2021,10/27/2021,11:10:00 AM,BP,118137,10.292,$3.10 ,$31.89 ,$0.00 ,$31.89 ,$31.89 
0213 - 2,COOLNORT,10/29/2021,10/27/2021,10:52:00 AM,DIAMOND,118328,22.917,$3.22 ,$73.77 ,$0.00 ,$73.77 ,$73.77 
0276 - 2,CMFAYETT,10/29/2021,10/27/2021,11:49:00 AM,BRANDED,7679,4.446,$3.19 ,$14.18 ,$0.00 ,$14.18 ,$14.18 
0268 - 1,MMEJACKS,10/29/2021,10/27/2021,11:03:01 AM,GATE,147034,11.479,$3.25 ,$37.30 ,$0.00 ,$37.30 ,$37.30 
0269 - 1,MMEJACKS,10/29/2021,10/27/2021,9:03:00 AM,EXXONMOB,29057,11.763,$3.30 ,$38.81 ,$0.00 ,$38.81 ,$38.81 
0287 - 1,MMEJACK,10/29/2021,10/27/2021,5:39:00 PM,EXXONMOB,149889,24.099,$3.29 ,$79.26 ,$0.00 ,$79.26 ,$79.26 
0288 - 1,MMEJACK,10/29/2021,10/27/2021,8:35:25 AM,GATE,137919,9.755,$3.30 ,$32.18 ,$0.00 ,$32.18 ,$32.18 
0303 - 1,MSPCORIN,10/29/2021,10/27/2021,4:48:00 PM,EXXONMOB,158638,13.673,$3.00 ,$41.01 ,$0.00 ,$41.01 ,$41.01 
0312 - 1,CPOSENAT,10/29/2021,10/27/2021,6:34:36 PM,KUM & GO,162329,9.034,$3.10 ,$28.00 ,$0.00 ,$28.00 ,$28.00 
0314 - 1,CPOSENAT,10/29/2021,10/27/2021,11:55:41 AM,KUM & GO,169554,17.577,$3.13 ,$55.00 ,$0.00 ,$55.00 ,$55.00 
0277 - 1,UNASSIGNED,11/1/2021,10/27/2021,1:20:32 PM,THORNTON OIL,504657,11.839,$3.03 ,$35.86 ,$0.00 ,$35.86 ,$35.86 
0263 - 1,RMDUNCAN,11/1/2021,10/27/2021,10:17:57 AM,QUIKTRIP,203632,15.005,$3.20 ,$48.00 ,$0.00 ,$48.00 ,$48.00 
0294 - 1,CMSAV,11/1/2021,10/27/2021,8:00:00 AM,UNBRANDED,204558,22.23,$3.35 ,$74.45 ,$0.00 ,$74.45 ,$74.45 
0294 - 1,CMSAV,11/1/2021,10/27/2021,7:02:00 PM,UNBRANDED,204558,19.082,$3.40 ,$64.86 ,$0.00 ,$64.86 ,$64.86 
0037 - 1,CMATHENS,11/1/2021,10/27/2021,1:38:05 PM,QUIKTRIP,8908,24.42,$3.20 ,$78.12 ,$0.00 ,$78.12 ,$78.12 
0242 - 1,CMATHENS,11/1/2021,10/27/2021,9:54:13 AM,QUIKTRIP,9357,11.757,$3.20 ,$37.61 ,$0.00 ,$37.61 ,$37.61 
0188 - 1,PAWILDER,11/1/2021,10/27/2021,1:31:11 PM,UNBRANDED,508441,18.667,$2.97 ,$55.42 ,$0.00 ,$55.42 ,$55.42 
0293 - 1,PAWILDER,11/1/2021,10/27/2021,9:51:47 AM,UNBRANDED,504253,16.591,$2.97 ,$49.26 ,$0.00 ,$49.26 ,$49.26 
0171 - 3,RMCHARL,11/1/2021,10/27/2021,1:43:00 PM,UNBRANDED,209555,8.854,$3.20 ,$28.32 ,$0.00 ,$28.32 ,$28.32 
0145 - 2,CMATL,11/1/2021,10/27/2021,10:16:45 AM,QUIKTRIP,1731,18.557,$3.20 ,$59.36 ,$0.00 ,$59.36 ,$59.36 
0278 - 1,MSPNEWAL,10/28/2021,10/26/2021,11:52:00 AM,SHELL,156272,10.17,$3.00 ,$30.53 ,$0.00 ,$30.53 ,$30.53 
0306 - 1,CPOPARAG,10/29/2021,10/26/2021,10:07:01 AM,UNBRANDED,163379,9.68,$3.10 ,$30.00 ,$0.00 ,$30.00 ,$30.00 
0312 - 1,CPOSENAT,10/28/2021,10/26/2021,8:32:24 AM,KUM & GO,162329,10.004,$3.10 ,$31.00 ,$0.00 ,$31.00 ,$31.00 
0312 - 1,CPOSENAT,10/28/2021,10/26/2021,7:17:47 PM,KUM & GO,162329,13.553,$3.10 ,$42.00 ,$0.00 ,$42.00 ,$42.00 
0313 - 1,CPOSENAT,10/28/2021,10/26/2021,2:06:00 PM,MURPHY USA,163381,13.868,$2.94 ,$40.76 ,$0.00 ,$40.76 ,$40.76 
0315 - 1,CPOSENAT,10/29/2021,10/26/2021,8:47:16 AM,UNBRANDED,162966,13.014,$3.10 ,$40.33 ,$0.00 ,$40.33 ,$40.33 
0291 - 1,BB,10/28/2021,10/26/2021,8:49:00 AM,SHELL,309522,13.87,$3.44 ,$47.73 ,$0.00 ,$47.73 ,$47.73 
0298 - 1,UNASSIGNED,10/28/2021,10/26/2021,8:35:00 AM,SPINX,209782,10.963,$3.30 ,$36.17 ,$9.00 ,$45.17 ,$36.17 
0218 - 1,UNASSIGNED,10/28/2021,10/26/2021,9:45:00 AM,SHELL,124466,18.07,$3.45 ,$62.33 ,$0.00 ,$62.33 ,$62.33 
0219 - 1,UNASSIGNED,10/28/2021,10/26/2021,4:06:00 PM,SHELL,124466,15.69,$3.45 ,$54.15 ,$0.00 ,$54.15 ,$54.15 
0220 - 1,UNASSIGNED,10/28/2021,10/26/2021,5:31:00 PM,EXXONMOB,308828,12.996,$3.40 ,$44.17 ,$0.00 ,$44.17 ,$44.17 
0187 - 1,CM,10/28/2021,10/26/2021,1:23:00 PM,RACETRAC,6426,11.872,$3.20 ,$37.98 ,$0.00 ,$37.98 ,$37.98 
0250 - 1,CM,10/28/2021,10/26/2021,8:17:22 AM,IRVING,805334,12.655,$3.36 ,$42.51 ,$0.00 ,$42.51 ,$42.51 
0184 - 1,CM,10/29/2021,10/26/2021,7:27:58 AM,QUIKTRIP,7362,5.846,$3.20 ,$18.70 ,$0.00 ,$18.70 ,$18.70 
0174 - 2,LO,10/28/2021,10/26/2021,9:08:07 AM,MARATHON,403564,9.427,$3.10 ,$29.21 ,$0.00 ,$29.21 ,$29.21 
0007 - 4,BBPORT,10/28/2021,10/26/2021,9:42:00 AM,SHELL,306430,15.17,$3.34 ,$50.68 ,$0.00 ,$50.68 ,$50.68 
0259 - 1,BBPORT,10/28/2021,10/26/2021,8:09:00 AM,EXXONMOB,308627,12.478,$3.46 ,$43.16 ,$0.00 ,$43.16 ,$43.16 
0192 - 2,RMDUNCAN,10/28/2021,10/26/2021,9:35:00 AM,SPINX,203290,21.063,$3.30 ,$69.49 ,$0.00 ,$69.49 ,$69.49 
0194 - 1,RMDUNCAN,10/29/2021,10/26/2021,10:14:32 AM,QUIKTRIP,207134,18.021,$3.20 ,$57.65 ,$0.00 ,$57.65 ,$57.65 
0263 - 1,RMDUNCAN,10/29/2021,10/26/2021,10:11:41 AM,QUIKTRIP,203632,12.504,$3.20 ,$40.00 ,$0.00 ,$40.00 ,$40.00 
0018 - 2,CMSAV,10/29/2021,10/26/2021,12:31:00 PM,UNBRANDED,203920,6.852,$3.65 ,$25.00 ,$0.00 ,$25.00 ,$25.00 
0294 - 1,CMSAV,10/29/2021,10/26/2021,2:15:00 PM,UNBRANDED,204558,7.193,$3.25 ,$23.37 ,$0.00 ,$23.37 ,$23.37 
0183 - 2,CMGAINS,10/28/2021,10/26/2021,12:16:51 PM,CHVRNWF,7679,22.322,$3.30 ,$73.64 ,$0.00 ,$73.64 ,$73.64 
0237 - 2,CMGAINS,10/28/2021,10/26/2021,4:34:30 PM,CHVRNWF,4976,9.305,$3.20 ,$29.77 ,$0.00 ,$29.77 ,$29.77 
0262 - 1,CMGAINS,10/28/2021,10/26/2021,10:01:00 AM,RACETRAC,7381,23.354,$3.20 ,$74.71 ,$0.00 ,$74.71 ,$74.71 
0297 - 1,CMATHENS,10/28/2021,10/26/2021,2:47:00 PM,UNBRANDED,8581,17.958,$3.20 ,$57.45 ,$0.00 ,$57.45 ,$57.45 
0181 - 1,CMATHENS,10/28/2021,10/26/2021,4:05:00 PM,BP,7088,15.438,$3.70 ,$57.11 ,$0.00 ,$57.11 ,$57.11 
0241 - 1,CMATHENS,10/28/2021,10/26/2021,6:32:00 PM,SHELL,2178,17.55,$3.20 ,$56.16 ,$0.00 ,$56.16 ,$56.16 
0254 - 1,CMATHENS,10/28/2021,10/26/2021,3:02:43 PM,CHEVRON,6411,20.622,$3.19 ,$65.76 ,$0.00 ,$65.76 ,$65.76 
0260 - 1,CMATHENS,10/28/2021,10/26/2021,2:02:46 PM,CHVRNWF,8239,12.041,$3.30 ,$39.72 ,$0.00 ,$39.72 ,$39.72 
0242 - 1,CMATHENS,10/29/2021,10/26/2021,10:01:00 AM,QUIKTRIP,9357,13.468,$3.20 ,$43.08 ,$0.00 ,$43.08 ,$43.08 
0051 - 1,LOPADU,10/28/2021,10/26/2021,7:55:52 PM,MARATHON,403441,17.639,$3.19 ,$56.25 ,$0.00 ,$56.25 ,$56.25 
0055 - 1,LOPADU,10/28/2021,10/26/2021,12:02:38 PM,MARATHON,408156,10.972,$3.10 ,$34.00 ,$0.00 ,$34.00 ,$34.00 
0258 - 2,LOPADU,10/28/2021,10/26/2021,11:33:00 AM,MURPHY USA,403215,9.274,$3.02 ,$28.00 ,$0.00 ,$28.00 ,$28.00 
0290 - 1,LOPADU,10/28/2021,10/26/2021,8:10:04 AM,MARATHON,403213,23.852,$3.09 ,$73.68 ,$0.00 ,$73.68 ,$73.68 
0049 - 2,LOMURR,10/28/2021,10/26/2021,7:15:11 AM,MARATHON,406152,8.285,$3.20 ,$26.50 ,$0.00 ,$26.50 ,$26.50 
0050 - 1,LOMURR,10/28/2021,10/26/2021,8:53:00 AM,HUCKS,403236,9.816,$2.99 ,$29.35 ,$0.00 ,$29.35 ,$29.35 
0160 - 1,LOMURR,10/28/2021,10/26/2021,11:57:00 AM,SHELL,400752,17.21,$3.20 ,$55.08 ,$0.00 ,$55.08 ,$55.08 
0293 - 1,PAWILDER,10/28/2021,10/26/2021,12:12:49 PM,SPEEDWAY,504253,16.329,$3.20 ,$52.24 ,$0.00 ,$52.24 ,$52.24 
0300 - 1,PAWILDER,10/28/2021,10/26/2021,3:06:00 PM,BRANDED,701682,10.466,$2.98 ,$31.18 ,$0.00 ,$31.18 ,$31.18 
0326 - 1,PAWILDER,10/28/2021,10/26/2021,3:23:20 PM,UNITED DAIRY,503910,10.655,$3.27 ,$34.83 ,$0.00 ,$34.83 ,$34.83 
0066 - 1,PAWILDER,10/28/2021,10/26/2021,3:14:00 PM,SHELL,502331,12.68,$3.20 ,$40.57 ,$0.00 ,$40.57 ,$40.57 
0070 - 1,PAWILDER,10/28/2021,10/26/2021,10:12:00 AM,BP,502020,9.117,$3.70 ,$33.72 ,$0.00 ,$33.72 ,$33.72 
0151 - 1,PAWILDER,10/28/2021,10/26/2021,1:59:32 PM,SPEEDWAY,508993,10.61,$3.05 ,$32.35 ,$0.00 ,$32.35 ,$32.35 
0167 - 3,PAWILDER,10/28/2021,10/26/2021,9:57:45 AM,SPEEDWAY,506798,8.806,$3.15 ,$27.73 ,$0.00 ,$27.73 ,$27.73 
0175 - 1,PAWILDER,10/28/2021,10/26/2021,10:54:14 AM,LOVES,906,10.982,$3.20 ,$35.13 ,$0.00 ,$35.13 ,$35.13 
0191 - 1,PAWILDER,10/28/2021,10/26/2021,3:02:28 PM,SPEEDWAY,507519,13.764,$3.00 ,$41.28 ,$0.00 ,$41.28 ,$41.28 
0088 - 2,PAWILDER,10/29/2021,10/26/2021,5:56:01 PM,QUIKTRIP,206724,12.551,$3.20 ,$40.15 ,$0.00 ,$40.15 ,$40.15 
0190 - 1,PAWILDER,10/29/2021,10/26/2021,10:12:11 AM,UNBRANDED,503946,18.852,$2.97 ,$55.97 ,$0.00 ,$55.97 ,$55.97 
0299 - 1,PAWILDER,10/29/2021,10/26/2021,4:10:33 PM,UNBRANDED,506601,23.927,$2.97 ,$71.04 ,$0.00 ,$71.04 ,$71.04 
0214 - 4,PALEX,10/28/2021,10/26/2021,9:12:03 AM,CIRCLE K,501864,11.351,$3.16 ,$35.86 ,$0.00 ,$35.86 ,$35.86 
0165 - 1,RMBEAU,10/28/2021,10/26/2021,2:19:13 PM,MARATHON,205315,23.696,$3.40 ,$80.54 ,$0.00 ,$80.54 ,$80.54 
0244 - 1,RMBEAU,10/28/2021,10/26/2021,1:46:00 PM,ENMARK,209561,23.699,$3.25 ,$77.00 ,$0.00 ,$77.00 ,$77.00 
0284 - 1,RMMYRTLE,10/28/2021,10/26/2021,2:04:00 PM,UNBRANDED,201791,15.389,$3.25 ,$50.00 ,$0.00 ,$50.00 ,$50.00 
0193 - 2,RMCHARL,10/29/2021,10/26/2021,10:25:52 AM,QUIKTRIP,203757,12.771,$3.20 ,$40.85 ,$0.00 ,$40.85 ,$40.85 
0116 - 1,WHHRCHMN,10/28/2021,10/26/2021,5:24:00 PM,UNBRANDED,608591,10.976,$3.24 ,$35.55 ,$0.00 ,$35.55 ,$35.55 
0185 - 1,CMTWATER,10/28/2021,10/26/2021,3:03:57 PM,CIRCLE K,801164,20.657,$3.39 ,$70.01 ,$0.00 ,$70.01 ,$70.01 
0233 - 1,CMTELLS,10/28/2021,10/26/2021,10:09:36 AM,IRVING,802357,18.056,$3.44 ,$62.09 ,$0.00 ,$62.09 ,$62.09 
0079 - 1,RIVERSID,10/28/2021,10/26/2021,3:39:00 PM,KROGER,108823,8.051,$3.06 ,$24.63 ,$0.00 ,$24.63 ,$24.63 
0150 - 1,RIVERSID,10/28/2021,10/26/2021,11:57:00 AM,SHELL,106861,11.59,$3.06 ,$35.47 ,$0.00 ,$35.47 ,$35.47 
0172 - 1,RIVERSID,10/28/2021,10/26/2021,10:34:22 AM,SPEEDWAY,102536,8.757,$3.13 ,$27.40 ,$0.00 ,$27.40 ,$27.40 
0280 - 1,CMATL,10/28/2021,10/26/2021,12:27:00 PM,BRANDED,1445,11.944,$3.19 ,$38.09 ,$0.00 ,$38.09 ,$38.09 
0283 - 1,RMCOLUMB,10/28/2021,10/26/2021,3:02:00 PM,SHELL,206682,22.68,$3.66 ,$83.00 ,$0.00 ,$83.00 ,$83.00 
0227 - 1,COOLPRES,10/28/2021,10/26/2021,11:47:06 AM,SPEEDWAY,113859,17.046,$3.11 ,$53.00 ,$0.00 ,$53.00 ,$53.00 
0228 - 1,COOLPIKE,10/28/2021,10/26/2021,10:37:00 AM,BP,118215,23.184,$3.10 ,$71.85 ,$0.00 ,$71.85 ,$71.85 
0226 - 1,COOLHAZA,10/28/2021,10/26/2021,11:11:00 AM,EXXONMOB,118847,15.942,$3.20 ,$51.00 ,$0.00 ,$51.00 ,$51.00 
0232 - 1,COOLLEXI,10/28/2021,10/26/2021,10:16:00 AM,BP,118137,7.285,$3.10 ,$22.58 ,$0.00 ,$22.58 ,$22.58 
0229 - 1,COOLLOUI,10/28/2021,10/26/2021,2:51:03 PM,PILOT,119344,7.169,$3.35 ,$24.01 ,$0.00 ,$24.01 ,$24.01 
0270 - 1,MMEJACKS,10/28/2021,10/26/2021,1:33:00 PM,MURPHY USA,148657,11.618,$3.19 ,$37.05 ,$0.00 ,$37.05 ,$37.05 
0271 - 1,MMEJACKS,10/28/2021,10/26/2021,1:29:00 PM,EXXONMOB,149260,9.105,$3.24 ,$29.49 ,$0.00 ,$29.49 ,$29.49 
0272 - 1,MMEJACKS,10/27/2021,10/25/2021,5:39:00 PM,BP,145665,21.219,$3.30 ,$70.00 ,$0.00 ,$70.00 ,$70.00 
0268 - 1,MMEJACKS,10/28/2021,10/25/2021,6:33:00 PM,EXXONMOB,147034,23.361,$3.30 ,$77.07 ,$0.00 ,$77.07 ,$77.07 
0311 - 1,CPOSENAT,10/27/2021,10/25/2021,12:57:00 PM,MURPHY USA,163550,15.041,$3.03 ,$45.56 ,$0.00 ,$45.56 ,$45.56 
0312 - 1,CPOSENAT,10/27/2021,10/25/2021,8:26:08 AM,KUM & GO,162329,10.003,$3.00 ,$30.00 ,$0.00 ,$30.00 ,$30.00 
0310 - 1,CPOSENAT,10/28/2021,10/25/2021,8:52:47 AM,UNBRANDED,165491,12.173,$3.10 ,$37.72 ,$0.00 ,$37.72 ,$37.72 
0314 - 1,CPOSENAT,10/28/2021,10/25/2021,8:54:28 AM,UNBRANDED,162966,15.812,$3.10 ,$49.00 ,$0.00 ,$49.00 ,$49.00 
0176 - 2,BB,10/27/2021,10/25/2021,3:59:25 PM,CUMBERLAND F,302266,11.911,$3.36 ,$40.01 ,$0.00 ,$40.01 ,$40.01 
0217 - 1,UNASSIGNED,10/27/2021,10/25/2021,1:52:00 PM,SHELL,121392,16.87,$3.50 ,$59.05 ,$0.00 ,$59.05 ,$59.05 
0220 - 1,UNASSIGNED,10/27/2021,10/25/2021,9:34:00 AM,EXXONMOB,308828,13.122,$3.46 ,$45.39 ,$0.00 ,$45.39 ,$45.39 
0178 - 1,CM,10/27/2021,10/25/2021,9:34:00 AM,BRANDED,7112,9.315,$3.20 ,$29.80 ,$0.00 ,$29.80 ,$29.80 
0251 - 1,CM,10/27/2021,10/25/2021,5:37:25 PM,CHVRNWF,9485,15.279,$3.26 ,$49.79 ,$0.00 ,$49.79 ,$49.79 
0286 - 1,CM,10/27/2021,10/25/2021,6:23:00 AM,ENMARK,4783,11.84,$3.18 ,$37.64 ,$0.00 ,$37.64 ,$37.64 
0184 - 1,CM,10/28/2021,10/25/2021,7:49:06 AM,QUIKTRIP,7362,6.088,$3.20 ,$19.48 ,$0.00 ,$19.48 ,$19.48 
0161 - 1,WHH,10/27/2021,10/25/2021,12:23:11 PM,MARATHON,603252,17.816,$3.25 ,$57.88 ,$0.00 ,$57.88 ,$57.88 
0001 - 1,BBPORT,10/27/2021,10/25/2021,11:27:50 AM,IRVING,309846,15.612,$3.46 ,$54.00 ,$0.00 ,$54.00 ,$54.00 
0246 - 1,RMDUNCAN,10/28/2021,10/25/2021,1:33:30 PM,QUIKTRIP,201502,22.038,$3.20 ,$70.50 ,$0.00 ,$70.50 ,$70.50 
0263 - 1,RMDUNCAN,10/28/2021,10/25/2021,10:49:12 AM,QUIKTRIP,203632,19.287,$3.06 ,$59.00 ,$0.00 ,$59.00 ,$59.00 
0017 - 1,BBGREEN,10/27/2021,10/25/2021,5:54:58 PM,CIRCLE K,305728,15.759,$3.18 ,$50.10 ,$0.00 ,$50.10 ,$50.10 
0163 - 1,CMSAV,10/27/2021,10/25/2021,4:38:00 PM,BP,204425,24.263,$3.25 ,$78.83 ,$0.00 ,$78.83 ,$78.83 
0294 - 1,CMSAV,10/28/2021,10/25/2021,8:08:00 AM,UNBRANDED,204558,22.342,$3.20 ,$71.47 ,$0.00 ,$71.47 ,$71.47 
0018 - 2,CMSAV,10/28/2021,10/25/2021,12:08:00 PM,UNBRANDED,203920,10.003,$3.70 ,$37.00 ,$0.00 ,$37.00 ,$37.00 
0040 - 2,CMATHENS,10/27/2021,10/25/2021,5:21:00 PM,SHELL,3556,14.07,$3.20 ,$45.01 ,$0.00 ,$45.01 ,$45.01 
0181 - 1,CMATHENS,10/27/2021,10/25/2021,11:54:08 AM,CHVRNWF,7088,19.788,$3.59 ,$71.02 ,$0.00 ,$71.02 ,$71.02 
0241 - 1,CMATHENS,10/27/2021,10/25/2021,7:05:00 PM,RACETRAC,2178,20.837,$3.20 ,$66.66 ,$0.00 ,$66.66 ,$66.66 
0253 - 1,CMATHENS,10/27/2021,10/25/2021,10:42:13 AM,LOVES,3887,10.676,$3.10 ,$33.08 ,$0.00 ,$33.08 ,$33.08 
0254 - 1,CMATHENS,10/27/2021,10/25/2021,10:52:45 AM,CITGO,6411,20.026,$3.26 ,$65.26 ,$0.00 ,$65.26 ,$65.26 
0297 - 1,CMATHENS,10/27/2021,10/25/2021,12:11:00 PM,SHELL,8581,21.02,$3.20 ,$67.25 ,$0.00 ,$67.25 ,$67.25 
0253 - 1,CMATHENS,10/28/2021,10/25/2021,8:15:00 PM,BP,3887,12.449,$3.24 ,$40.32 ,$0.00 ,$40.32 ,$40.32 
0059 - 1,LOPADU,10/27/2021,10/25/2021,12:04:00 PM,BP,406635,11.132,$3.10 ,$34.50 ,$0.00 ,$34.50 ,$34.50 
0264 - 1,LOPADU,10/27/2021,10/25/2021,8:44:37 AM,MARATHON,402539,6.411,$3.12 ,$20.00 ,$0.00 ,$20.00 ,$20.00 
